OWP_BIN,RMK,TSE2_FR,Qty
19.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,1
21.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
21.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1
21.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,3
21.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,7
21.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,2
21.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,5
21.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,11
21.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,27
22.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,7
22.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,11
22.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,27
22.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,52
22.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,27
22.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,33
22.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,61
22.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,148
23.0,GC5_PHO_3bin_BadBay_AFWK26,0.030303030303030304,33
23.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,47
23.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,148
23.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,266
23.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,95
23.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,97
23.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,260
23.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,441
24.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,193
24.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,186
24.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0017094017094017094,585
24.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,877
24.5,GC5_PHO_3bin_BadBay_AFWK26,0.002257336343115124,443
24.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,487
24.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,1325
24.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,2222
25.0,GC5_PHO_3bin_BadBay_AFWK26,0.0010090817356205853,991
25.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,1496
25.0,GC5_PHO_3bin_GoodBay_AFWK26,0.00064246707356248,3113
25.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,7239
25.5,GC5_PHO_3bin_BadBay_AFWK26,0.000508646998982706,1966
25.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,3273
25.5,GC5_PHO_3bin_GoodBay_AFWK26,0.00015384615384615385,6500
25.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,15432
26.0,GC5_PHO_3bin_BadBay_AFWK26,0.0008769365682548962,3421
26.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,7004
26.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,11536
26.0,GC5_PHO_3bin_GoodBay_BFWK26,6.209637357178341e-05,32208
26.5,GC5_PHO_3bin_BadBay_AFWK26,0.0007356998344675372,5437
26.5,GC5_PHO_3bin_BadBay_BFWK26,7.489514679448772e-05,13352
26.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,18804
26.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,61120
27.0,GC5_PHO_3bin_BadBay_AFWK26,0.0005430355688297583,7366
27.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,18348
27.0,GC5_PHO_3bin_GoodBay_AFWK26,3.8580246913580246e-05,25920
27.0,GC5_PHO_3bin_GoodBay_BFWK26,1.225445142948176e-05,81603
27.5,GC5_PHO_3bin_BadBay_AFWK26,0.00010475591870940707,9546
27.5,GC5_PHO_3bin_BadBay_BFWK26,4.526115687516973e-05,22094
27.5,GC5_PHO_3bin_GoodBay_AFWK26,3.076923076923077e-05,32500
27.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,100248
28.0,GC5_PHO_3bin_BadBay_AFWK26,0.00012596044841919638,7939
28.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,2683
28.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,25167
28.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,11921
28.5,GC5_PHO_3bin_BadBay_AFWK26,0.00048484848484848484,8250
28.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,241
28.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,25603
28.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,1220
29.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,8314
29.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,249
29.0,GC5_PHO_3bin_GoodBay_AFWK26,3.840835765862652e-05,26036
29.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,1342
29.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,8090
29.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,220
29.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,25152
29.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,1252
30.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,5882
30.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,180
30.0,GC5_PHO_3bin_GoodBay_AFWK26,5.4734537493158185e-05,18270
30.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,867
30.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,2835
30.5,GC5_PHO_3bin_BadBay_BFWK26,0.0,77
30.5,GC5_PHO_3bin_GoodBay_AFWK26,0.0,8468
30.5,GC5_PHO_3bin_GoodBay_BFWK26,0.0,437
31.0,GC5_PHO_3bin_BadBay_AFWK26,0.0,3
31.0,GC5_PHO_3bin_BadBay_BFWK26,0.0,8
31.0,GC5_PHO_3bin_GoodBay_AFWK26,0.0,4
31.0,GC5_PHO_3bin_GoodBay_BFWK26,0.0,4
31.5,GC5_PHO_3bin_BadBay_AFWK26,0.0,1
